#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
印象的	印[いん] 象[しょう] 的[てき]	impressive		0026 0027
インストール	インストール	install		0050
引退	引[いん] 退[たい]	retirement		0026
インタビュー	インタビュー	interview		0046
インフルエンザ	インフルエンザ	influenza		0022
引用	引[いん] 用[よう]	citation, quotation		0038
ウイルス	ウイルス	virus		0022
ウイルス対策	ウイルス 対[たい] 策[さく]	anti-virus		0050 0051
ウェブサイト	ウェブサイト	Web site		0050
植える	植[う]える	to plant		0070
受け～	受[う]け～	receive [accept, take] ～		0161
受け入れる	受[う]け 入[い]れる	to accept		0161
受け継ぐ	受[う]け 継[つ]ぐ	to inherit		0074
受け取る	受[う]け 取[と]る	to receive		0161
受け持つ	受[う]け 持[も]つ	to be in charge of		0038 0161
失う	失[うしな]う	to lose		0014
薄暗い	薄[うす] 暗[ぐら]い	dim		0034
薄まる	薄[うす]まる	to become diluted (vi.)		0178
薄める	薄[うす]める	to dilute (vt.)		0178
歌い出す	歌[うた]い 出[だ]す	to begin to sing		0160
疑う	疑[うたが]う	to doubt		0010
打ち～	打[う]ち～	(used to add emphasis)		0161
打ち合わせ	打[う]ち 合[あ]わせ	meeting		0054 0112
打ち合わせる	打[う]ち 合[あ]わせる	to have a meeting		0161
内気	内[うち] 気[き]	shy		0107
打ち消す	打[う]ち 消[け]す	to deny, to contradict		0113 0161
宇宙飛行士	宇[う] 宙[ちゅう] 飛[ひ] 行[こう] 士[し]	astronaut		0172
うっかり	うっかり	carelessly		0107 0136
訴えかける	訴[うった]えかける	to appeal		0160
訴える	訴[うった]える	to take legal action, to appeal, to complain		0066 0088
腕が上がる	腕[うで]が 上[あ]がる	to become more skilful		0149
腕がいい	腕[うで]がいい	to be skilled		0149
腕を上げる	腕[うで]を 上[あ]げる	to improve one's skill		0149
奪う	奪[うば]う	to steal		0058
うまみ	うまみ	taste		0179
生まれる	生[う]まれる	to be born		0070
生み出す	生[う]み 出[だ]す	to produce, to create		0074
埋める	埋[う]める	to bury, to fill in		0054
敬う	敬[うやま]う	to respect		0010
裏	裏[うら]	back, reverse side		0101
裏返す	裏[うら] 返[がえ]す	to turn over, to reverse		0018 0019
裏切る	裏[うら] 切[ぎ]る	to betray		0006
恨む	恨[うら]む	to hold a grudge		0010
うらやましい	うらやましい	envious		0010
うらやむ	うらやむ	to envy		0010 0178
うんと	うんと	really, very		0106
永遠	永[えい] 遠[えん]	eternity		0054
影響	影[えい] 響[きょう]	influence		0070
英国式	英[えい] 国[こく] 式[しき]	British style [system]		0173
衛生的	衛[えい] 生[せい] 的[てき]	hygienic, sanitary		0022
映像	映[えい] 像[ぞう]	image, picture		0046
英文学科	英[えい] 文[ぶん] 学[がっ] 科[か]	English department		0038 0039
英雄	英[えい] 雄[ゆう]	great man, hero		0066
栄養	栄[えい] 養[よう]	nutrition		0014
えさ	えさ	feed, food		0070
エチケット	エチケット	etiquette		0010
エネルギー資源	エネルギー 資[し] 源[げん]	energy resources		0062 0063
獲物	獲[え] 物[もの]	prey		0070
円	円[えん]	circle		0078
～園	～ 園[えん]	～ garden		0055
宴会	宴[えん] 会[かい]	party		0014
演技	演[えん] 技[ぎ]	acting		0026
演劇	演[えん] 劇[げき]	play		0026
園児	園[えん] 児[じ]	kindergarten pupil		0055
演習	演[えん] 習[しゅう]	practice		0038
援助	援[えん] 助[じょ]	aid, assistance		0112
援助活動	援[えん] 助[じょ] 活[かつ] 動[どう]	aid activities		0066 0067
演説	演[えん] 説[ぜつ]	speech, address		0066
演奏	演[えん] 奏[そう]	performance		0026
追い～	追[お]い～	catch ～		0161
追いかける	追[お]いかける	to chase		0042 0161
追い越す	追[お]い 越[こ]す	to overtake		0161
追い出す	追[お]い 出[だ]す	to chase away, to throw out		0161
追い付く	追[お]い 付[つ]く	to overtake		0161
負う	負[お]う	to owe		0062
応援	応[おう] 援[えん]	to support, cheering for		0026
欧州連合	欧[おう] 州[しゅう] 連[れん] 合[ごう]	European Union		0067
横断	横[おう] 断[だん]	crossing		0030
往復	往[おう] 復[ふく]	both ways, round trip	反.  片[かた] 道[みち]<br>one way	0030
大～、大～	大[おお]～、 大[だい]～	大[おお]～：big [great, extreme] ～<br>大[だい]～：big [major] ～		0079 0166
大雨洪水警報	大[おお] 雨[あめ] 洪[こう] 水[ずい] 警[けい] 報[ほう]	heavy rain and flood warning		0058 0059
大いに	大[おお]いに	hugely, very much		0078 0106 0124
大げさ	大[おお]げさ	exaggerated		0106
大手自動車メーカー	大[おお] 手[て] 自[じ] 動[どう] 車[しゃ]メーカー	major car manufacturer		0062 0063
大通り	大[おお] 通[どお]り	main street		0030
オーバー	オーバー	exaggerated		0106
大幅	大[おお] 幅[はば]	major, drastic		0079
大まか	大[おお]まか	rough	反.  詳[しょう] 細[さい]<br>details	0046
丘	丘[おか]	hill		0034
お母様	お 母[かあ] 様[さま]	mother		0002
犯す	犯[おか]す	to commit		0058
沖	沖[おき]	out to sea	反.  岸[きし]<br>coast	0034
～おき	～おき	every ～		0161
補う	補[おぎな]う	to make up for		0078
奥様	奥[おく] 様[さま]	wife		0002
怒り出す	怒[おこ]り 出[だ]す	to lose one's temper		0160
押さえる	押[お]さえる	to hold down, to restrain		0088
抑える	抑[おさ]える	to keep under control, to suppress		0088
納める	納[おさ]める	to pay		0062
お辞儀	お 辞[じ] 儀[ぎ]	bow		0002
惜しむ	惜[お]しむ	to regret, to begrudge		0054 0178
お嬢ちゃん	お 嬢[じょう]ちゃん	little daughter		0002
雄	雄[おす]	male (animal)		0070
汚染	汚[お] 染[せん]	pollution		0070
襲う	襲[おそ]う	to attack		0070
恐らく	恐[おそ]らく	perhaps		0063 0107 0131
恐れる	恐[おそ]れる	to fear		0010
恐ろしい	恐[おそ]ろしい	terrible		0100
お互いに	お 互[たが]いに	each other, mutually		0107
穏やか	穏[おだ]やか	calm, mild		0006 0100
落ち込む	落[お]ち 込[こ]む	to be depressed		0113 0160
おっとり	おっとり	gentle, easy-going		0143
お父様	お 父[とう] 様[さま]	father		0002
おどおど	おどおど	anxiously		0143
驚く	驚[おどろ]く	to be surprised		0113
同い年	同[おな]い 年[どし]	same age		0002
各々	各[おの] 々[おの]	each		0112
オフィス街	オフィス 街[がい]	office street [area]		0172
（お）坊ちゃん	（お） 坊[ぼっ]ちゃん	boy		0002
