#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
上昇	上[じょう] 昇[しょう]	rising		0062
使用済み	使[し] 用[よう] 済[ず]み	used, spent		0161
承諾	承[しょう] 諾[だく]	acceptance		0054
上達	上[じょう] 達[たつ]	progress		0026
商店街	商[しょう] 店[てん] 街[がい]	shopping street [area]		0172
消毒	消[しょう] 毒[どく]	disinfection		0022
衝突	衝[しょう] 突[とつ]	collision		0058
勝敗	勝[しょう] 敗[はい]	victory or defeat		0026
消費	消[しょう] 費[ひ]	consumption		0074
消費者	消[しょう] 費[ひ] 者[しゃ]	consumer		0074 0075
賞品	賞[しょう] 品[ひん]	prize, trophy		0026
勝負	勝[しょう] 負[ぶ]	game		0026
丈夫	丈[じょう] 夫[ぶ]	strong, solid		0074
情報	情[じょう] 報[ほう]	information		0046
消防士	消[しょう] 防[ぼう] 士[し]	fireman		0172
消防署	消[しょう] 防[ぼう] 署[しょ]	fire station		0172
証明	証[しょう] 明[めい]	proof		0038
条約	条[じょう] 約[やく]	treaty		0066
しょう油	しょう 油[ゆ]	soya sauce		0014 0167
～職	～ 職[しょく]	～ work		0043
職場	職[しょく] 場[ば]	one's place of work		0002
植物	植[しょく] 物[ぶつ]	plant, vegetation		0070
植民地	植[しょく] 民[みん] 地[ち]	colony		0066
食欲	食[しょく] 欲[よく]	appetite		0014
食糧	食[しょく] 糧[りょう]	provisions, food		0058
助言	助[じょ] 言[げん]	advice		0010
諸事情	諸[しょ] 事[じ] 情[じょう]	various circumstances		0166
初旬	初[しょ] 旬[じゅん]	first ten days of the month		0082
徐々に	徐[じょ] 々[じょ]に	steadily		0071 0137
書籍	書[しょ] 籍[せき]	book		0026
ショッキング	ショッキング	shocking		0046
少量	少[しょう] 量[りょう]	small amount		0167
しょっちゅう	しょっちゅう	constantly		0106 0125
しょっぱい	しょっぱい	salty		0014
ショッピング街	ショッピング 街[がい]	shopping street [area]		0172
庶民	庶[しょ] 民[みん]	ordinary people		0066
白髪	白髪[しらが]	grey hair		0022
知り合い	知[し]り 合[あ]い	acquaintance		0002 0003
私立大学	私[し] 立[りつ] 大[だい] 学[がく]	private university	反.  国[こく] 立[りつ] 大[だい] 学[がく]<br>national university	0038
城	城[しろ]	castle		0030
しわ	しわ	wrinkle		0018
新～	新[しん]～	new ～		0035 0067 0075 0167
～心	～ 心[しん]	～ spirit		0173
進化	進[しん] 化[か]	evolution	反.  退[たい] 化[か]<br>degeneration	0074
進学	進[しん] 学[がく]	moving onto the next stage of education		0038
進学率	進[しん] 学[がく] 率[りつ]	ratio of students going on to a higher stage of education		0173
新学期	新[しん] 学[がっ] 期[き]	new school term		0034 0035 0167
人工的	人[じん] 工[こう] 的[てき]	artificial		0074 0075
深刻	深[しん] 刻[こく]	serious		0070
深刻化	深[しん] 刻[こく] 化[か]	becoming more serious		0071
診察	診[しん] 察[さつ]	medical examination		0022
信じ込む	信[しん]じ 込[こ]む	to firmly believe		0160
真実	真[しん] 実[じつ]	truth		0112
新商品	新[しん] 商[しょう] 品[ひん]	new product		0074 0075 0167
申請	申[しん] 請[せい]	application		0042
新製品	新[しん] 製[せい] 品[ひん]	new product		0035 0075 0167
親戚	親[しん] 戚[せき]	relative		0054
新鮮	新[しん] 鮮[せん]	fresh		0014
新体制	新[しん] 体[たい] 制[せい]	new system		0167
新大陸	新[しん] 大[たい] 陸[りく]	new continent		0066 0067
診断	診[しん] 断[だん]	diagnosis		0022
慎重	慎[しん] 重[ちょう]	careful	反. そそっかしい<br>careless	0006
新年	新[しん] 年[ねん]	New Year		0054
新年会	新[しん] 年[ねん] 会[かい]	New Year party		0015
新年度	新[しん] 年[ねん] 度[ど]	new financial [fiscal] year		0034 0035 0167
人物	人[じん] 物[ぶつ]	man, figure		0066
人文科学	人[じん] 文[ぶん] 科[か] 学[がく]	humanities		0038
進歩	進[しん] 歩[ぽ]	progress		0074
深夜番組	深[しん] 夜[や] 番[ばん] 組[ぐみ]	late-night TV show		0047
信用度	信[しん] 用[よう] 度[ど]	credit worthiness		0173
心理	心[しん] 理[り]	state of mind, psychology		0006
心理的	心[しん] 理[り] 的[てき]	psychological		0007
森林	森[しん] 林[りん]	forest		0034
親類	親[しん] 類[るい]	relative		0002
酢	酢[す]	vinegar		0014
図	図[ず]	diagram, figure		0050
炊事	炊[すい] 事[じ]	cooking		0018
随筆	随[ずい] 筆[ひつ]	essay		0026
水平線	水[すい] 平[へい] 線[せん]	horizon		0034
睡眠	睡[すい] 眠[みん]	sleep		0022
睡眠不足	睡[すい] 眠[みん] 不[ぶ] 足[そく]	lack of sleep		0022 0023
ずうずうしい	ずうずうしい	brazen-faced, shameless		0006 0107
末っ子	末[すえ]っ 子[こ]	youngest child		0002
杉	杉[すぎ]	cedar		0070
好き嫌い	好[す]き 嫌[きら]い	likes and dislikes		0014
すくすく	すくすく	quickly		0055
優れる	優[すぐ]れる	to be excellent		0038
図形	図[ず] 形[けい]	figure		0078
スケジュール	スケジュール	schedule		0112
少しも	少[すこ]しも	(not) at all [a] bit		0130
過ごす	過[す]ごす	to pass		0082
涼む	涼[すず]む	to cool down		0178
勧める	勧[すす]める	to encourage, to suggest		0014
頭痛	頭[ず] 痛[つう]	headache		0014
ずっしり	ずっしり	heavily		0142
酸っぱい	酸[す]っぱい	sour		0014
ステージ	ステージ	stage		0026
既に	既[すで]に	already		0031 0106 0137
ストレス	ストレス	stress		0054
砂	砂[すな]	sand		0034
ずばり	ずばり	frankly		0143
好き好き	好[す]き 好[ず]き	matter of liking, taste		0014
スピード違反	スピード 違[い] 反[はん]	speeding offence		0058 0059
スペース	スペース	space		0083
すべて	すべて	all		0106
済まない	済[す]まない	to be sorry		0010
～済み	～ 済[ず]み	finished ～, -ed		0161
スムーズ	スムーズ	smooth		0107
ずらりと	ずらりと	in a line		0079
鋭い	鋭[するど]い	sharp, acute	反.  鈍[にぶ]い<br>blunt, thick-headed, dull	0006 0101
すれ～	すれ～	pass ～		0161
すれすれ	すれすれ	just barely, narrowly		0142
すれ違う	すれ 違[ちが]う	to pass each other		0161
すんなり	すんなり	smoothly		0143
正～	正[せい]～	regular [exact] ～		0166
～性	～ 性[せい]	-ty, -ness		0075 0173
～製	～ 製[せい]	made of [in] ～		0173
～制	～ 制[せい]	～ system		0173
税	税[ぜい]	tax		0062
正確	正[せい] 確[かく]	accurate	反. でたらめ<br>nonsense	0046
正確さ	正[せい] 確[かく]さ	accuracy		0179
税関	税[ぜい] 関[かん]	customs		0030
～世紀	～ 世[せい] 紀[き]	～ century		0066
税金	税[ぜい] 金[きん]	tax		0062
清潔	清[せい] 潔[けつ]	cleanliness	反.  不[ふ] 潔[けつ]<br>dirty	0006
制限	制[せい] 限[げん]	restriction		0070
制作	制[せい] 作[さく]	production		0046
製作	製[せい] 作[さく]	manufacture		0062
～政策	～ 政[せい] 策[さく]	～ policy		0067
制作費	制[せい] 作[さく] 費[ひ]	production cost		0047
生産	生[せい] 産[さん]	production		0074
生産量	生[せい] 産[さん] 量[りょう]	production volume [amount]		0074 0173
正式	正[せい] 式[しき]	formally		0054
政治欄	政[せい] 治[じ] 欄[らん]	political column		0046
成人	成[せい] 人[じん]	adult		0054
成人式	成[せい] 人[じん] 式[しき]	coming-of-age ceremony [celebration]		0054 0055
せいぜい	せいぜい	at the most		0106 0137
成績	成[せい] 績[せき]	academic result [record]		0038
製造	製[せい] 造[ぞう]	manufacturing		0062
製造業	製[せい] 造[ぞう] 業[ぎょう]	manufacturing industry		0172
盛大	盛[せい] 大[だい]	magnificent		0054
ぜいたく	ぜいたく	luxurious	反.  粗[そ] 末[まつ]<br>shabby, plain, waste	0014
成長	成[せい] 長[ちょう]	growth		0054
生徒	生[せい] 徒[と]	student		0038
制度	制[せい] 度[ど]	system, institution		0066
性能	性[せい] 能[のう]	performance		0074
整備	整[せい] 備[び]	maintenance		0070
正比例	正[せい] 比[ひ] 例[れい]	direct proportion		0166
製品	製[せい] 品[ひん]	product		0074
政府	政[せい] 府[ふ]	government		0066
生物	生[せい] 物[ぶつ]	living thing, creature		0074
正方形	正[せい] 方[ほう] 形[けい]	square		0078
税務署	税[ぜい] 務[む] 署[しょ]	tax office		0172
生命力	生[せい] 命[めい] 力[りょく]	vitality		0173
西洋風	西[せい] 洋[よう] 風[ふう]	Western style		0173
整理	整[せい] 理[り]	arrangement		0018
背負う	背[せ] 負[お]う	to carry on one's back		0018 0113
せき	せき	cough		0022
石油	石[せき] 油[ゆ]	oil		0062
世間	世[せ] 間[けん]	society, world, people		0046
説	説[せつ]	theory, opinion		0038
せっかく	せっかく	with considerable trouble, carefully		0136
積極的	積[せっ] 極[きょく] 的[てき]	positive, assertive	反.  消[しょう] 極[きょく] 的[てき]<br>passive	0006 0007
せっせと	せっせと	busily, hard		0043 0142
接続	接[せつ] 続[ぞく]	connection		0050
設定	設[せっ] 定[てい]	settings		0050
説得	説[せっ] 得[とく]	persuasion		0054
設備	設[せつ] 備[び]	equipment		0074
絶滅	絶[ぜつ] 滅[めつ]	extinction	反.  繁[はん] 殖[しょく]<br>breeding	0070
迫る	迫[せま]る	to approach, to press		0089
ゼミ	ゼミ	seminar		0038
せめて	せめて	at least		0019 0137
攻める	攻[せ]める	to attack	反.  守[まも]る<br>to keep, to protect	0026
セリフ	セリフ	lines		0026
栓	栓[せん]	stopper, cork, plug		0018
全～	全[ぜん]～	whole ～		0166
前～	前[ぜん]～	former ～, ex-		0166
全科目	全[ぜん] 科[か] 目[もく]	all subjects		0166
選挙	選[せん] 挙[きょ]	election		0066
選挙活動	選[せん] 挙[きょ] 活[かつ] 動[どう]	election campaign		0067
前後	前[ぜん] 後[ご]	around		0082
専攻	専[せん] 攻[こう]	major		0038
全身	全[ぜん] 身[しん]	whole body		0022
センチメートル	センチメートル	centimetre		0078
宣伝	宣[せん] 伝[でん]	advertisement		0046
宣伝費	宣[せん] 伝[でん] 費[ひ]	advertising cost		0046 0047 0172
先輩	先[せん] 輩[ぱい]	senior		0002
洗面器	洗[せん] 面[めん] 器[き]	washbasin		0172
洗面具	洗[せん] 面[めん] 具[ぐ]	washstand		0172
洗面所	洗[せん] 面[めん] 所[じょ]	bathroom		0172
専門家	専[せん] 門[もん] 家[か]	expert		0172
線路	線[せん] 路[ろ]	railway track		0030
線路沿い	線[せん] 路[ろ] 沿[ぞ]い	along the track		0031
～沿い	～ 沿[ぞ]い	along the ～		0031 0161
そう	そう	(not) so		0059 0130
沿う	沿[そ]う	to go along		0083
総～	総[そう]～	total ～		0166
騒音	騒[そう] 音[おん]	noise, din		0070
増加	増[ぞう] 加[か]	increase	反.  減[げん] 少[しょう]<br>decrease	0078
葬儀費用	葬[そう] 儀[ぎ] 費[ひ] 用[よう]	funeral expenses		0054 0055
ぞうきん	ぞうきん	dust cloth		0018
倉庫	倉[そう] 庫[こ]	warehouse		0018
総合欄	総[そう] 合[ごう] 欄[らん]	general news column		0046
相互に	相[そう] 互[ご]に	mutually		0107
操作	操[そう] 作[さ]	operation		0050
捜査	捜[そう] 査[さ]	(criminal) investigation		0058
葬式	葬[そう] 式[しき]	funeral		0054
送受信	送[そう] 受[じゅ] 信[しん]	transmission and reception		0050
送信	送[そう] 信[しん]	transmission, sending	反.  受[じゅ] 信[しん]<br>reception	0050
増大	増[ぞう] 大[だい]	increase	反.  低[てい] 下[か]<br>decrease	0078
相談相手	相[そう] 談[だん] 相[あい] 手[て]	adviser		0055
早朝	早[そう] 朝[ちょう]	early morning		0082
相当	相[そう] 当[とう]	considerable		0106 0124
挿入	挿[そう] 入[にゅう]	insertion		0050
送別会	送[そう] 別[べつ] 会[かい]	farewell party	反.  歓[かん] 迎[げい] 会[かい]<br>welcome party	0014 0015
続々	続[ぞく] 々[ぞく]	one after another		0107
測定	測[そく] 定[てい]	measurement		0078
組織	組[そ] 織[しき]	organisation		0042
祖先	祖[そ] 先[せん]	ancestor	反.  子[し] 孫[そん]<br>descendant	0002
注ぐ	注[そそ]ぐ	to pour, to flow into, to focus one's efforts		0014 0089
そそっかしい	そそっかしい	careless	反.  慎[しん] 重[ちょう]<br>careful	0006
育つ	育[そだ]つ	to grow up		0054
そっくり	そっくり	spitting image, exactly (like)		0107
率直	率[そっ] 直[ちょく]	frank		0006
備える	備[そな]える	to prepare for		0058 0089
そのうち	そのうち	before long		0082 0125
そのまま	そのまま	as it is		0047
ソフト	ソフト	software		0050
祖父母	祖[そ] 父[ふ] 母[ぼ]	grandparents		0002
粗末	粗[そ] 末[まつ]	shabby, plain, waste	反. ぜいたく<br>luxurious	0014 0100
そる	そる	to shave		0022
それぞれ	それぞれ	each		0112
そわそわ	そわそわ	uneasy		0143
尊敬	尊[そん] 敬[けい]	respect		0010
田	田[た]	rice field		0062
多～	多[た]～	multi-, many ～		0167
～代	～ 代[だい]	～ fee [bill, fare]		0172
退化	退[たい] 化[か]	degeneration	反.  進[しん] 化[か]<br>evolution	0074
大学院	大[だい] 学[がく] 院[いん]	graduate school		0038
大気	大[たい] 気[き]	atmosphere		0070
損害	損[そん] 害[がい]	damage		0042
大気汚染	大[たい] 気[き] 汚[お] 染[せん]	air pollution		0070
大規模	大[だい] 規[き] 模[ぼ]	large scale		0078 0079
滞在	滞[たい] 在[ざい]	stay		0030
～対策	～ 対[たい] 策[さく]	measures against ～		0051 0059
大して	大[たい]して	(not) that		0130
退職届	退[たい] 職[しょく] 届[とどけ]	resignation notice		0173
大臣	大[だい] 臣[じん]	minister		0066
～大臣	～ 大[だい] 臣[じん]	～ Minister		0067
体積	体[たい] 積[せき]	volume		0078
大多数	大[だい] 多[た] 数[すう]	great majority		0079
態度	態[たい] 度[ど]	attitude		0010
タイトル	タイトル	title		0046
逮捕	逮[たい] 捕[ほ]	arrest		0058
タイミング	タイミング	timing		0082
対立	対[たい] 立[りつ]	opposition		0042
大量	大[たい] 量[りょう]	a large amount		0078
ダウンロード	ダウンロード	download		0050
絶えず	絶[た]えず	constantly		0125
高まる	高[たか]まる	to increase, to heighten (vi.)		0178
高める	高[たか]める	to increase (vt.)		0178
耕す	耕[たがや]す	to plough, to cultivate		0062
滝	滝[たき]	waterfall		0034
炊き上がる	炊[た]き 上[あ]がる	to be cooked		0160
炊く	炊[た]く	to cook		0018
託児所	託[たく] 児[じ] 所[しょ]	nursery		0055
たくましい	たくましい	strong, burly		0118
多国籍	多[た] 国[こく] 籍[せき]	multinational		0167
足し算	足[た]し 算[ざん]	addition		0078
多少	多[た] 少[しょう]	a bit, somewhat		0079
足す	足[た]す	to add		0078
～出す	～ 出[だ]す	～ out		0160
助け	助[たす]け	help		0112
助け合う	助[たす]け 合[あ]う	to help each other		0160
～正しい	～ 正[ただ]しい	the correct [precise] ～		0007
直ちに	直[ただ]ちに	right away		0059 0125
大統領	大[だい] 統[とう] 領[りょう]	president		0066
ただの	ただの	just		0106
畳む	畳[たた]む	to fold		0018
立ち上がる	立[た]ち 上[あ]がる	to rise, to stand up	反.  腰[こし] 掛[か]ける<br>to sit	0022 0023 0051
立ち上げる	立[た]ち 上[あ]げる	to launch		0050 0051
たちまち	たちまち	immediately		0023 0125
発つ	発[た]つ	to leave	反.  着[つ]く<br>to arrive	0030
たつ	たつ	to pass		0082
だっこ	だっこ	hug		0018
達する	達[たっ]する	to reach		0078
たった	たった	only		0031 0137
たっぷり	たっぷり	plenty		0078
～立て	～ 立[た]て	just ～		0019 0161
立て直す	立[た]て 直[なお]す	rebuild		0160
妥当	妥[だ] 当[とう]	proper		0038
たとえ	たとえ	even if		0003 0131
谷	谷[たに]	valley		0034
種	種[たね]	seed		0062
楽しみ	楽[たの]しみ	pleasure		0179
頼もしい	頼[たの]もしい	reliable		0006 0118
たびたび	たびたび	frequently		0106 0125
旅番組	旅[たび] 番[ばん] 組[ぐみ]	travel programme		0046
多方面	多[た] 方[ほう] 面[めん]	many-sided, versatile		0167
たまに	たまに	occasionally		0106
黙り込む	黙[だま]り 込[こ]む	to fall silent		0160
たまる	たまる	to accumulate, to build up		0022
ためる	ためる	to save up	反.  解[かい] 消[しょう]する<br>to get rid of	0054
多用途	多[た] 用[よう] 途[と]	multi-purpose		0167
頼り	頼[たよ]り	reliance		0006
だらしない	だらしない	slovenly		0006
多量	多[た] 量[りょう]	large quantity		0167
短～	短[たん]～	short ～		0167
単位	単[たん] 位[い]	unit		0038
短所	短[たん] 所[しょ]	shortcomings		0006
団体～	団[だん] 体[たい]～	group ～		0031
～団体	～ 団[だん] 体[たい]	～ organisation		0067
団体競技	団[だん] 体[たい] 競[きょう] 技[ぎ]	team sports		0031
団体旅行	団[だん] 体[たい] 旅[りょ] 行[こう]	group tour	反.  個[こ] 人[じん] 旅[りょ] 行[こう]<br>individual travel	0030 0031
担当	担[たん] 当[とう]	in charge		0038
単なる	単[たん]なる	mere		0106
単に	単[たん]に	simply		0137
～地	～ 地[ち]	～ site [place]		0172
チェック	チェック	check		0074
～違い	～ 違[ちが]い	different [wrong] ～		0161
誓う	誓[ちか]う	to swear		0054
近く	近[ちか]く	near		0125
地下水	地[ち] 下[か] 水[すい]	underground water		0034
近々	近[ちか] 々[ぢか]	shortly		0047 0125
力を入れる	力[ちから]を 入[い]れる	to put effort into		0155
地球温暖化	地[ち] 球[きゅう] 温[おん] 暖[だん] 化[か]	global warming		0070 0071
知人	知[ち] 人[じん]	acquaintance		0002
縮む	縮[ちぢ]む	to shrink		0018
ちっとも	ちっとも	(not a) bit		0003 0106 0130
地平線	地[ち] 平[へい] 線[せん]	horizon		0034
地方	地[ち] 方[ほう]	region		0030
地方公共団体	地[ち] 方[ほう] 公[こう] 共[きょう] 団[だん] 体[たい]	local public organisation		0067
チャンス	チャンス	chance		0082 0112
中華風	中[ちゅう] 華[か] 風[ふう]	Chinese style		0015 0173
中間試験	中[ちゅう] 間[かん] 試[し] 験[けん]	mid-term examination		0038
中古	中[ちゅう] 古[こ]	second-hand		0050
忠告	忠[ちゅう] 告[こく]	advice		0010
駐車違反	駐[ちゅう] 車[しゃ] 違[い] 反[はん]	illegal parking		0059
注射器	注[ちゅう] 射[しゃ] 器[き]	syringe		0172
中旬	中[ちゅう] 旬[じゅん]	middle ten days of a month		0082
中断	中[ちゅう] 断[だん]	interruption		0082
注目	注[ちゅう] 目[もく]	attention		0046
注文	注[ちゅう] 文[もん]	order		0014
長～、長～	長[ちょう]～、 長[なが]～	long ～		0167
超～	超[ちょう]～	super ～, ultra-		0167
～帳	～ 帳[ちょう]	-book		0173
超一流	超[ちょう] 一[いち] 流[りゅう]	top-notch		0167
超大型	超[ちょう] 大[おお] 型[がた]	extra large		0167
父親	父[ちち] 親[おや]	father		0054
朝刊	朝[ちょう] 刊[かん]	morning newspaper		0046
超高層ビル	超[ちょう] 高[こう] 層[そう]ビル	skyscraper		0167
超小型	超[ちょう] 小[こ] 型[がた]	ultra-small		0167
調子	調[ちょう] 子[し]	condition		0022
長所	長[ちょう] 所[しょ]	strong point		0006
頂上	頂[ちょう] 上[じょう]	summit, top		0034
調整	調[ちょう] 整[せい]	adjustment		0113
挑戦状	挑[ちょう] 戦[せん] 状[じょう]	written challenge		0173
超大作	超[ちょう] 大[たい] 作[さく]	blockbuster		0167
ちょうど	ちょうど	just		0131
長方形	長[ちょう] 方[ほう] 形[けい]	rectangle		0078
調味料	調[ちょう] 味[み] 料[りょう]	seasoning		0014 0015
貯金	貯[ちょ] 金[きん]	savings		0062
著者	著[ちょ] 者[しゃ]	author, writer		0026
貯蓄	貯[ちょ] 蓄[ちく]	savings		0062
著名人	著[ちょ] 名[めい] 人[じん]	celebrity		0047
散らかる	散[ち]らかる	to be scattered		0018
ちらっと	ちらっと	glance		0079
つい	つい	by accident, without meaning		0107 0136
追加	追[つい] 加[か]	addition		0014
ついに	ついに	finally		0071 0136
費やす	費[つい]やす	to spend		0074
通学	通[つう] 学[がく]	attending school		0030
通勤	通[つう] 勤[きん]	commuting		0030
通信～	通[つう] 信[しん]～	communication [correspondence] ～		0051
通信機能	通[つう] 信[しん] 機[き] 能[のう]	communication function		0050 0051
通信速度	通[つう] 信[しん] 速[そく] 度[ど]	communication speed		0050
通信網	通[つう] 信[しん] 網[もう]	communication network		0074
通訳	通[つう] 訳[やく]	interpretation		0030
～遣い	～ 遣[づか]い	～ habit, way of ～		0003 0161
使い道	使[つか]い 道[みち]	how to use ～		0112
捕まる	捕[つか]まる	to get caught		0058
つかむ	つかむ	to grab		0082 0089
疲れ気味	疲[つか]れ 気[ぎ] 味[み]	feeling slightly tired		0079
～つき	～つき	look of ～		0161
付き合い	付[つ]き 合[あ]い	relationship		0002 0003
次々	次[つぎ] 々[つぎ]	one after another		0075 0107
月日	月[つき] 日[ひ]	time		0082
つぐ	つぐ	to pour		0014
つくづく	つくづく	thoroughly, deeply		0143
～つける	～つける	(indicates doing something emphatically)		0011
津波警報	津[つ] 波[なみ] 警[けい] 報[ほう]	tsunami warning		0059
常に	常[つね]に	always		0083 0106 0137
つぶす	つぶす	to crush		0089
つぶれる	つぶれる	to collapse		0042
～っぽい	～っぽい	-ish, a touch of ～		0007
つぼみ	つぼみ	flower bud		0070
つまむ	つまむ	to pick up with one's fingers		0014
罪	罪[つみ]	crime		0058
積む	積[つ]む	to load, to accumulate, to pile up		0078 0094
詰め込む	詰[つ]め 込[こ]む	to cram into		0160
詰める	詰[つ]める	to fill		0026
梅雨	梅雨[つゆ]	rainy season		0034
強気	強[つよ] 気[き]	strong, aggressive	反.  弱[よわ] 気[き]<br>coward	0006
強まる	強[つよ]まる	to strengthen, to intensify (vi.)		0178
強み	強[つよ]み	strength		0179
強める	強[つよ]める	to strengthen, to increase (vt.)		0178
釣り具	釣[つ]り 具[ぐ]	fishing gear		0172
つるす	つるす	to hang		0018
～連れ	～ 連[づ]れ	accompanied by ～		0161
連れ出す	連[つ]れ 出[だ]す	to take out		0160
出会う	出[で] 会[あ]う	to meet, to come across		0054
低～	低[てい]～	low ～		0167
提案	提[てい] 案[あん]	suggestion		0042
定員	定[てい] 員[いん]	(seating) capacity		0030
低下	低[てい] 下[か]	decrease	反.  増[ぞう] 大[だい]<br>increase	0078
低カロリー	低[てい]カロリー	low calorie		0167
定期券	定[てい] 期[き] 券[けん]	commuter pass		0030 0031
定期預金	定[てい] 期[き] 預[よ] 金[きん]	time deposit		0062 0063
低血圧	低[てい] 血[けつ] 圧[あつ]	low blood pressure		0167
停車	停[てい] 車[しゃ]	stopping	反.  発[はっ] 車[しゃ]<br>departure	0030
訂正	訂[てい] 正[せい]	correction		0113 0119
停電	停[てい] 電[でん]	blackout, power failure		0058
停留所	停[てい] 留[りゅう] 所[じょ]	stop		0030
データ	データ	data		0050
手が空く	手[て]が 空[あ]く	to be free		0149
手が掛かる	手[て]が 掛[か]かる	difficult		0149
手が足りない	手[て]が 足[た]りない	to be short-handed [undermanned]		0149
手が出ない	手[て]が 出[で]ない	to be out of one's reach		0149
手が離せない	手[て]が 離[はな]せない	to be in the middle of something		0149
敵	敵[てき]	enemy	反.  味[み] 方[かた]<br>ally, friend	0026
～的	～ 的[てき]	-ic, -tive (added to a noun to make it an adjective)		0007 0011 0027 0047 0055 0075 0173
出来上がる	出[で] 来[き] 上[あ]がる	to be finished		0018 0019 0160
適応	適[てき] 応[おう]	adaptation		0119
適切	適[てき] 切[せつ]	appropriate	反.  不[ふ] 適[てき] 切[せつ]<br>unsuitable	0046 0119
出来立て	出[で] 来[き] 立[た]て	freshly made, just done		0018 0019 0161
適度	適[てき] 度[ど]	moderate		0022 0119
適当	適[てき] 当[とう]	suitable		0119
てきぱき	てきぱき	efficiently		0142
できるだけ	できるだけ	as many [much] as possible		0055
テクニック	テクニック	technique		0078
手品師	手[て] 品[じな] 師[し]	magician		0172
手数料	手[て] 数[すう] 料[りょう]	service charge		0172
でたらめ	でたらめ	nonsense	反.  正[せい] 確[かく]<br>accurate	0046 0112
哲学	哲[てつ] 学[がく]	philosophy		0038
手続き	手[て] 続[つづ]き	procedure		0054
鉄道	鉄[てつ] 道[どう]	railroad [railway]		0030
徹夜	徹[てつ] 夜[や]	staying [sitting] up all night		0022
手につかない	手[て]につかない	can't focus [concentrate] on		0149
手間	手[て] 間[ま]	time and effort		0074
テクノロジー	テクノロジー	technology		0074
出迎える	出[で] 迎[むか]える	to meet, to greet	反.  見[み] 送[おく]る<br>to see off	0030
手を貸す	手[て]を 貸[か]す	to lend a hand		0149
手を借りる	手[て]を 借[か]りる	to accept help		0149
手を組む	手[て]を 組[く]む	to join hands [forces]		0149
手を出す	手[て]を 出[だ]す	to have a finger in, to start a fight		0149
手をつける	手[て]をつける	to set one's hand to, to start work on		0149
電機メーカー	電[でん] 機[き]メーカー	electrical manufacturer		0063
転居	転[てん] 居[きょ]	moving, change of address		0113
点検	点[てん] 検[けん]	inspection		0074
転校	転[てん] 校[こう]	changing schools		0038
天国	天[てん] 国[ごく]	heaven	反.  地[じ] 獄[ごく]<br>hell	0054
伝言	伝[でん] 言[ごん]	(verbal) message		0112
転じる	転[てん]じる	turn ～ to		0062
伝染	伝[でん] 染[せん]	infection		0022
伝統的	伝[でん] 統[とう] 的[てき]	traditional		0054 0055
天然	天[てん] 然[ねん]	natural		0014
天然ガス	天[てん] 然[ねん]ガス	natural gas		0062
天然資源	天[てん] 然[ねん] 資[し] 源[げん]	natural resources		0063
天皇	天[てん] 皇[のう]	emperor		0066
天皇制	天[てん] 皇[のう] 制[せい]	emperor system of Japan		0173
添付	添[てん] 付[ぷ]	attachment		0050
電力	電[でん] 力[りょく]	electric power		0062
～度	～ 度[ど]	～ degree		0078 0173
問い	問[と]い	inquiry		0038
問いかける	問[と]いかける	to inquire		0160
～頭	～ 頭[とう]	～ head (of cattle)		0070
同～	同[どう]～	same ～		0167
答案	答[とう] 案[あん]	answer sheet [paper]		0038
統一	統[とう] 一[いつ]	unification		0066
同業者	同[どう] 業[ぎょう] 者[しゃ]	person in the same trade		0167
東京発	東[とう] 京[きょう] 発[はつ]	departing Tokyo		0030 0031
東京方面	東[とう] 京[きょう] 方[ほう] 面[めん]	Tokyo area		0083
投資	投[とう] 資[し]	investment		0062
どうせ	どうせ	anyway, at any rate		0067 0137
同世代	同[どう] 世[せ] 代[だい]	same generation		0167
到着	到[とう] 着[ちゃく]	arrival	反.  出[しゅっ] 発[ぱつ]<br>departure	0030
同程度	同[どう] 程[てい] 度[ど]	same level		0167
とうとう	とうとう	finally		0136
道徳	道[どう] 徳[とく]	moral		0010
道徳的	道[どう] 徳[とく] 的[てき]	moral, ethical		0011
盗難	盗[とう] 難[なん]	theft, robbery, burglary		0058
導入	導[どう] 入[にゅう]	introduce		0074
投票	投[とう] 票[ひょう]	voting		0066
当分	当[とう] 分[ぶん]	for the time being		0023 0125
どうも	どうも	for some reason		0131
同僚	同[どう] 僚[りょう]	colleague		0054
登録証	登[とう] 録[ろく] 証[しょう]	registration card		0173
登録済み	登[とう] 録[ろく] 済[ず]み	registered		0161
通り～	通[とお]り～	pass ～		0161
通りかかる	通[とお]りかかる	to happen to pass by		0161
通り過ぎる	通[とお]り 過[す]ぎる	to pass over [by]		0161
溶かす	溶[と]かす	to melt		0018
とかす	とかす	to comb, to brush		0022
時折	時[とき] 折[おり]	every now and then		0125
どきどき	どきどき	pounding		0006
解く	解[と]く	to clear up, to unfasten, to solve		0010 0094
溶く	溶[と]く	to dissolve		0018 0094
とく	とく	to comb, to brush		0022
得意先	得[とく] 意[い] 先[さき]	good customer		0063
読書	読[どく] 書[しょ]	reading		0026
独身	独[どく] 身[しん]	single		0054
独身者	独[どく] 身[しん] 者[しゃ]	single person		0055
独立	独[どく] 立[りつ]	independence		0066
独立心	独[どく] 立[りつ] 心[しん]	independent spirit		0173
解ける	解[と]ける	to be cleared up		0010
溶ける	溶[と]ける	to melt		0018
どける	どける	to move		0018
